importance_rank,osm_node_id,latitude,longitude,street_names,betweenness_centrality,demand_level,total_demand_rate,design,design_name,completion_rate,completion_rate_std,avg_waiting_time_s,avg_waiting_time_s_std,avg_queue_length,avg_queue_length_std,throughput_veh_s,throughput_veh_s_std,traffic_efficiency,traffic_efficiency_std,avg_path_time_s,graph_efficiency,completion_rate_change_pct,avg_waiting_time_s_change_pct,avg_queue_length_change_pct,throughput_veh_s_change_pct,traffic_efficiency_change_pct,avg_path_time_s_change_pct,graph_efficiency_change_pct
2,2722951931,13.8941035,100.7034483,ซอยหนองระแหง 5; ถนนไทยรามัญ,0.1164121787025704,medium,1.0,underpass,Underpass,0.8067846759282695,0.009915877431640957,9.178061141143703,0.6340482081618739,9.597333333333333,0.6530446641182617,0.7943333333333333,0.017178798302300183,0.7878619697913491,0.00869061989548245,106.83333333333333,0.014950923921452041,0.5074671005976893,-11.44573487622675,-14.624599691614282,0.5061155630535643,1.601567602985289,-0.15576323987539384,0.034610308198391414
3,3053324433,13.8860863,100.7221994,ถนนหทัยราษฎร์,0.10910546715626276,medium,1.0,four_way,Existing Signalized Four-Way,0.9594536750457656,0.0064086691982754625,11.99781329737873,0.8309608964755998,12.785333333333334,0.9900888848987245,0.9446666666666667,0.01877942136133768,0.8578556355516375,0.005586845880916826,15.5,0.07028287258550416,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,3053324433,13.8860863,100.7221994,ถนนหทัยราษฎร์,0.10910546715626276,medium,1.0,roundabout,Roundabout,0.939590217110232,0.012448445338198529,12.644415817770875,3.1412422732180114,16.657,2.691512874863421,0.925,0.01595131481867386,0.835896326514353,0.015982354818461785,20.5,0.051438790607364206,-2.07028837891377,5.389336409605691,30.28209406611742,-2.081863091037397,-2.5597907301924674,32.25806451612903,-26.811769759716025
3,3053324433,13.8860863,100.7221994,ถนนหทัยราษฎร์,0.10910546715626276,medium,1.0,flyover,Flyover,0.9594536750457656,0.0064086691982754625,9.756438259229927,0.6455782018805105,10.502333333333333,0.7620313496030056,0.9446666666666667,0.01877942136133768,0.8736447723937323,0.005962180588856063,15.333333333333334,0.07064362294625452,0.0,-18.681529563712214,-17.85639795599125,0.0,1.8405354220167518,-1.0752688172042972,0.513283460791231
3,3053324433,13.8860863,100.7221994,ถนนหทัยราษฎร์,0.10910546715626276,medium,1.0,underpass,Underpass,0.9594536750457656,0.0064086691982754625,9.756438259229927,0.6455782018805105,10.502333333333333,0.7620313496030056,0.9446666666666667,0.01877942136133768,0.8736447723937323,0.005962180588856063,15.333333333333334,0.07064362294625452,0.0,-18.681529563712214,-17.85639795599125,0.0,1.8405354220167518,-1.0752688172042972,0.513283460791231
4,3834754707,13.8597869,100.7350807,ซอย วัดสุขใจ; ซอยวัดสุขใจ; วัดสุขใจ 1; วัดสุขใจ 4,0.10360159118727051,medium,1.0,four_way,Existing Signalized Four-Way,0.9032486362681587,0.008986148411198927,11.113139528854722,0.7178172837238683,11.829,0.803956604688476,0.8893333333333333,0.019194906731850623,0.8305024169970604,0.008583521245646182,51.0,0.02158665837694226,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,3834754707,13.8597869,100.7350807,ซอย วัดสุขใจ; ซอยวัดสุขใจ; วัดสุขใจ 1; วัดสุขใจ 4,0.10360159118727051,medium,1.0,roundabout,Roundabout,0.8779315289797792,0.01326031691287474,13.259004676265302,2.5988278366953868,16.758666666666667,2.6904502721044046,0.8643333333333333,0.017782638224465533,0.7960700990602059,0.015080299824912165,56.0,0.01933995142378891,-2.80289460418994,19.30926127435858,41.67441598331783,-2.8110944527736157,-4.145962399646623,9.803921568627452,-10.407849672338187
4,3834754707,13.8597869,100.7350807,ซอย วัดสุขใจ; ซอยวัดสุขใจ; วัดสุขใจ 1; วัดสุขใจ 4,0.10360159118727051,medium,1.0,flyover,Flyover,0.9032486362681587,0.008986148411198927,9.626458266653513,0.6238009703848885,10.169,0.7007691012975195,0.8893333333333333,0.019194906731850623,0.8416435845744145,0.008935601263174841,50.833333333333336,0.021629327774450372,0.0,-13.377689161025236,-14.033307971933384,0.0,1.3414973092599074,-0.32679738562091043,0.1976655986444345
4,3834754707,13.8597869,100.7350807,ซอย วัดสุขใจ; ซอยวัดสุขใจ; วัดสุขใจ 1; วัดสุขใจ 4,0.10360159118727051,medium,1.0,underpass,Underpass,0.9032486362681587,0.008986148411198927,9.626458266653513,0.6238009703848885,10.169,0.7007691012975195,0.8893333333333333,0.019194906731850623,0.8416435845744145,0.008935601263174841,50.833333333333336,0.021629327774450372,0.0,-13.377689161025236,-14.033307971933384,0.0,1.3414973092599074,-0.32679738562091043,0.1976655986444345
5,5877834594,13.8601908,100.7403845,ซอยวัดสุขใจ,0.10206956344349247,medium,1.0,four_way,Existing Signalized Four-Way,0.9226013321839697,0.010281653420087999,11.780485462013855,0.7179184401225384,12.405,0.8158179263100862,0.9083333333333333,0.01751190071541824,0.837688566763992,0.008855353614038773,43.0,0.03170236399403066,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,5877834594,13.8601908,100.7403845,ซอยวัดสุขใจ,0.10206956344349247,medium,1.0,roundabout,Roundabout,0.8939790030907929,0.017246275644592978,11.903862403749576,0.7335073686364586,15.66,1.3576953511987393,0.8803333333333333,0.028331372481167693,0.8128060877129837,0.013380463333340406,48.0,0.0263224378748553,-3.102350722323622,1.0472992996218153,26.239419588875464,-3.0825688073394524,-2.970373482251261,11.627906976744185,-16.97011024221526
5,5877834594,13.8601908,100.7403845,ซอยวัดสุขใจ,0.10206956344349247,medium,1.0,flyover,Flyover,0.9229330071425104,0.010444672693156737,10.09487635073211,0.6047755711453696,10.551666666666666,0.6917827211873198,0.9086666666666666,0.01796292478040996,0.8501257248066176,0.009151511565998366,42.833333333333336,0.03174944497331503,0.03594997611325346,-14.30848598486869,-14.940212279994627,0.03669724770641798,1.4846995095887103,-0.3875968992248007,0.14850936445380494
5,5877834594,13.8601908,100.7403845,ซอยวัดสุขใจ,0.10206956344349247,medium,1.0,underpass,Underpass,0.9229330071425104,0.010444672693156737,10.09487635073211,0.6047755711453696,10.551666666666666,0.6917827211873198,0.9086666666666666,0.01796292478040996,0.8501257248066176,0.009151511565998366,42.833333333333336,0.03174944497331503,0.03594997611325346,-14.30848598486869,-14.940212279994627,0.03669724770641798,1.4846995095887103,-0.3875968992248007,0.14850936445380494
