osm_node_id,latitude,longitude,street_names,highway_types,in_degree,out_degree,fully_bidirectional,traffic_signals,junction,minimum_branch_angle,maximum_branch_angle,cross_score,likely_geometric_cross,osm_url,branch_1_neighbor,branch_1_bearing,branch_1_street,branch_1_highway,branch_2_neighbor,branch_2_bearing,branch_2_street,branch_2_highway,branch_3_neighbor,branch_3_bearing,branch_3_street,branch_3_highway,branch_4_neighbor,branch_4_bearing,branch_4_street,branch_4_highway
2562522036,13.8647626,100.7201956,,residential,4,4,True,False,,89.32,91.0,0.9944,True,https://www.openstreetmap.org/node/2562522036,2562522038,88.79,,residential,2562522042,178.1,,residential,2562522034,267.98,,residential,2562522030,357.78,,residential
3053310375,13.9019587,100.7185634,,residential,4,4,True,False,,89.48,90.51,0.9944,True,https://www.openstreetmap.org/node/3053310375,3053310358,86.34,,residential,3053310359,176.85,,residential,3053310355,266.33,,residential,3053310340,356.84,,residential
3840012532,13.852721,100.7131878,หมู่บ้านแลนซีโอ ซอย 21,residential,4,4,True,False,,89.23,90.77,0.9944,True,https://www.openstreetmap.org/node/3840012532,3840012533,86.55,หมู่บ้านแลนซีโอ ซอย 21,residential,3840012524,177.32,,residential,3840012530,267.08,,residential,3840012543,357.32,,residential
3840058992,13.8555325,100.7026818,,residential,4,4,True,False,,89.51,91.01,0.9944,True,https://www.openstreetmap.org/node/3840058992,3840058990,89.16,,residential,3840058983,180.17,,residential,3840058989,269.79,,residential,3840059000,359.3,,residential
3840058993,13.8555666,100.7067217,,residential,4,4,True,False,,89.0,90.53,0.9944,True,https://www.openstreetmap.org/node/3840058993,3840059005,1.0,,residential,3840058994,90.0,,residential,3840058987,180.53,,residential,3840058995,270.6,,residential
3840100073,13.8565644,100.688366,ซอยคู้บอน 48,residential,4,4,True,False,,89.0,90.53,0.9944,True,https://www.openstreetmap.org/node/3840100073,3840100075,76.62,,residential,3840100067,165.62,ซอยคู้บอน 48,residential,3840100072,255.87,,residential,3840100079,346.39,ซอยคู้บอน 48,residential
5887077317,13.9079028,100.7871882,,residential,4,4,True,False,,89.01,90.56,0.9944,True,https://www.openstreetmap.org/node/5887077317,5887077318,0.7,,residential,5887077315,91.26,,residential,5887076584,180.27,,residential,5887077286,270.25,,residential
3834869447,13.866418,100.7108593,,residential,4,4,True,False,,89.2,90.76,0.9943,True,https://www.openstreetmap.org/node/3834869447,7990378082,88.27,,residential,3834869432,178.54,,residential,3834869444,268.31,,residential,3834869463,359.07,,residential
4415609843,13.8722029,100.7435646,,residential,4,4,True,False,,89.0,90.72,0.9943,True,https://www.openstreetmap.org/node/4415609843,3053324353,85.72,,residential,8177832440,176.03,,residential,3053324417,265.03,,residential,3053324350,355.0,,residential
5941639249,13.8915113,100.7190299,,residential,4,4,True,False,,89.22,90.8,0.9943,True,https://www.openstreetmap.org/node/5941639249,5941639250,90.46,,residential,5941639246,179.69,,residential,5941639248,269.9,,residential,5941639252,359.66,,residential
3834808984,13.8646917,100.7240558,,residential,4,4,True,False,,89.07,90.93,0.9942,True,https://www.openstreetmap.org/node/3834808984,3834808987,83.19,,residential,8109972624,174.11,,residential,3834808978,263.18,,residential,3834809001,353.07,,residential
3841547696,13.8484316,100.7074804,,residential,4,4,True,False,,89.07,90.57,0.9942,True,https://www.openstreetmap.org/node/3841547696,3841547701,88.06,,residential,3840058767,177.95,,residential,3841547693,268.42,,residential,3841547716,357.49,,residential
3053310333,13.9001554,100.7186658,,residential,4,4,True,False,,89.45,90.57,0.9941,True,https://www.openstreetmap.org/node/3053310333,3053310341,87.34,,residential,3053310352,176.84,,residential,3053310342,266.28,,residential,3053310373,356.85,,residential
3053324380,13.8691743,100.7459823,,residential,4,4,True,False,,89.33,90.66,0.9941,True,https://www.openstreetmap.org/node/3053324380,3053324379,85.36,,residential,4415580544,174.69,,residential,3053324363,265.09,,residential,3053324414,354.7,,residential
3834809007,13.865057,100.7263053,,residential,4,4,True,False,,88.96,90.99,0.9941,True,https://www.openstreetmap.org/node/3834809007,8336337847,83.86,,residential,3834808986,174.85,,residential,3834809004,263.81,,residential,3834809021,353.8,,residential
3840059204,13.8588324,100.7067363,,residential,4,4,True,False,,89.28,90.72,0.9941,True,https://www.openstreetmap.org/node/3840059204,3840059214,0.34,,residential,3840059205,90.0,,residential,3840059194,180.34,,residential,3840059203,269.62,,residential
5941639212,13.8893841,100.7190479,,residential,4,4,True,False,,89.02,90.93,0.9941,True,https://www.openstreetmap.org/node/5941639212,5941639215,0.32,,residential,5941639211,90.23,,residential,5941639209,181.16,,residential,5941639213,270.18,,residential
6117202389,13.8527011,100.7117392,,residential,3,3,False,False,,89.03,90.61,0.9941,True,https://www.openstreetmap.org/node/6117202389,10134595222,84.32,,residential,6117202388,173.35,,residential,6117202390,263.26,,residential,6117202394,353.86,,residential
6117202620,13.8509136,100.7086035,,residential,4,4,True,False,,89.38,90.62,0.994,True,https://www.openstreetmap.org/node/6117202620,6117202621,88.14,,residential,6117202617,177.68,,residential,6117202619,268.3,,residential,6117202623,357.67,,residential
2562521967,13.8721705,100.7205596,ซอย 34; ซอย ๓๓,residential,4,4,True,False,,89.27,91.09,0.9939,True,https://www.openstreetmap.org/node/2562521967,2562521968,89.33,ซอย 34,residential,2562521970,178.6,,residential,8061345515,269.69,ซอย ๓๓,residential,2562521964,359.68,,residential
2562522024,13.8654971,100.7201705,,residential,4,4,True,False,,88.91,90.83,0.9939,True,https://www.openstreetmap.org/node/2562522024,2562522026,88.2,,residential,2562522030,178.43,,residential,2562522022,267.34,,residential,2562522018,358.16,,residential
3840087379,13.8566135,100.6953882,,residential,4,4,True,False,,88.93,91.05,0.9939,True,https://www.openstreetmap.org/node/3840087379,3840087392,0.28,,residential,3840087380,89.21,,residential,3840087367,179.19,,residential,8086748877,270.24,,residential
8034727816,13.832822,100.6914588,,residential,4,4,True,False,,88.96,90.85,0.9939,True,https://www.openstreetmap.org/node/8034727816,8034727818,73.85,,residential,8034727815,163.78,,residential,3841938464,254.04,,residential,8034727817,343.0,,residential
3053310359,13.9015933,100.7185841,,residential,4,4,True,False,,89.42,90.58,0.9938,True,https://www.openstreetmap.org/node/3053310359,3053310353,86.31,,residential,3053310335,176.84,,residential,3053310339,266.27,,residential,3053310375,356.85,,residential
3053310378,13.8994277,100.7187072,,residential,4,4,True,False,,89.41,90.6,0.9938,True,https://www.openstreetmap.org/node/3053310378,3053310382,87.44,,residential,3053310365,176.85,,residential,3053310350,266.32,,residential,3053310352,356.84,,residential
3840059211,13.8591931,100.706009,,residential,4,4,True,False,,88.96,91.04,0.9938,True,https://www.openstreetmap.org/node/3840059211,3840059226,0.09,,residential,3840059214,89.05,,residential,3840059203,180.09,,residential,3840059212,270.02,,residential
5887077301,13.9078832,100.7895907,,residential,4,4,True,False,,89.24,91.12,0.9938,True,https://www.openstreetmap.org/node/5887077301,5887077299,89.48,,residential,5887076574,180.61,,residential,5887077303,270.27,,residential,5887077302,359.51,,residential
8341596589,13.8992964,100.7168893,,residential,4,4,True,False,,89.33,91.08,0.9938,True,https://www.openstreetmap.org/node/8341596589,8341596588,87.17,,residential,8341596602,176.73,,residential,8341596590,266.06,,residential,8341596592,357.14,,residential
2562521982,13.8694719,100.720046,เมืองประชา ซอย ๔๔; เมืองประชา ซอย ๔๕,residential,4,4,True,False,,88.9,90.7,0.9937,True,https://www.openstreetmap.org/node/2562521982,2562521983,87.92,เมืองประชา ซอย ๔๔,residential,2562521985,178.35,,residential,2562521981,269.06,เมืองประชา ซอย ๔๕,residential,2562521979,357.96,,residential
3053303661,13.8866411,100.7203593,,residential,4,4,True,False,,89.21,91.12,0.9937,True,https://www.openstreetmap.org/node/3053303661,3053301910,0.0,,residential,3053301925,89.65,,residential,3053303663,180.76,,residential,3053303646,269.97,,residential
