importance_rank,osm_node_id,latitude,longitude,street_names,demand_level,total_demand_rate,design,design_name,completion_rate,avg_waiting_time_s,avg_queue_length,throughput_veh_s,traffic_efficiency
6,3834754707,13.8597869,100.7350807,ซอย วัดสุขใจ; ซอยวัดสุขใจ; วัดสุขใจ 1; วัดสุขใจ 4,medium,1.0,four_way,Existing Signalized Four-Way,0.13192182410423453,7.723404255319149,0.605,0.07833333333333334,0.849034176210856
7,3017429961,13.8311443,100.7610659,ถนนประชาร่วมใจ,medium,1.0,four_way,Existing Signalized Four-Way,0.13192182410423453,5.861538461538461,0.635,0.10833333333333334,0.8725153311140572
8,3841546184,13.8414941,100.7029031,ถนนสุเหร่าคลองหนึ่ง; สุเหร่าคลองหนึ่ง 5; สุเหร่าคลองหนึ่ง ซอย 5,medium,1.0,four_way,Existing Signalized Four-Way,0.13192182410423453,18.372093023255815,1.3166666666666667,0.07166666666666667,0.7155858676207514
9,2722951940,13.9061458,100.6996359,ซอยหนองระแหง 5; ถนนหนองระแหง,medium,1.0,four_way,Existing Signalized Four-Way,0.13192182410423453,13.510204081632653,1.1033333333333333,0.08166666666666667,0.7652156499313353
10,3010327836,13.8353969,100.7675243,ซอยประชาร่วมใจ 33; ซอยประชาร่วมใจ 44; ถนนประชาร่วมใจ,medium,1.0,four_way,Existing Signalized Four-Way,0.13192182410423453,5.28125,0.5633333333333334,0.10666666666666667,0.88387226455928
11,5817136062,13.8393703,100.773706,ถนนประชาร่วมใจ,medium,1.0,four_way,Existing Signalized Four-Way,0.13192182410423453,13.628571428571428,0.795,0.058333333333333334,0.7764167665366217
12,5935920708,13.8958999,100.7151813,ถนนไทยรามัญ,medium,1.0,four_way,Existing Signalized Four-Way,0.13192182410423453,10.202247191011235,1.5133333333333334,0.14833333333333334,0.7841061724632702
13,3010521944,13.8416099,100.7790452,ซอยประชาร่วมใจ 45; ซอยประชาร่วมใจ 60; ถนนประชาร่วมใจ,medium,1.0,four_way,Existing Signalized Four-Way,0.13192182410423453,17.761904761904763,0.6216666666666667,0.035,0.7480273272585106
14,5870258361,13.8479329,100.7273239,ถนนสามวา,medium,1.0,four_way,Existing Signalized Four-Way,0.13192182410423453,10.2,0.255,0.025,0.8354050462406322
15,5933246533,13.9119598,100.7070246,ถนนหนองระแหง,medium,1.0,four_way,Existing Signalized Four-Way,0.13192182410423453,11.583333333333334,0.23166666666666666,0.02,0.8216083919205084
16,5933392468,13.9087958,100.6955807,ซอยหนองระแหง 4,medium,1.0,four_way,Existing Signalized Four-Way,0.13192182410423453,4.8125,0.25666666666666665,0.05333333333333334,0.9046212588489145
17,8236662649,13.8768935,100.7817271,ถนนแบนชะโด,medium,1.0,four_way,Existing Signalized Four-Way,0.13192182410423453,10.071428571428571,0.235,0.023333333333333334,0.8377831675806604
18,3673190579,13.8953156,100.6961963,ซอยไทยรามัญ; ถนนไทยรามัญ,medium,1.0,four_way,Existing Signalized Four-Way,0.13192182410423453,17.083333333333332,0.3416666666666667,0.02,0.7659172685721358
19,8392620342,13.8729128,100.6894381,ถนนพระยาสุเรนทร์,medium,1.0,four_way,Existing Signalized Four-Way,0.13192182410423453,7.142857142857143,0.16666666666666666,0.023333333333333334,0.8764521193092623
20,3012564666,13.8466951,100.7908739,ซอยประชาร่วมใจ 63; ถนนประชาร่วมใจ,medium,1.0,four_way,Existing Signalized Four-Way,0.13192182410423453,13.823529411764707,0.39166666666666666,0.028333333333333332,0.7920689402371319
21,3843843349,13.824774,100.7511067,ถนนประชาร่วมใจ,medium,1.0,four_way,Existing Signalized Four-Way,0.13192182410423453,11.454545454545455,0.21,0.018333333333333333,0.8239791012244375
